Id,Target
931_C10_4_classes_7_6,6 7
1346_A7_6_classes_22_21,21 22
1026_D5_7_classes_22,22
417_C9_2_classes_6,6
1035_F3_4_classes_23_0,0 23
1144_A1_2_classes_2_0,0 2
555_C4_1_classes_7,7
1255_F8_2_classes_5,5
183_G5_2_classes_25_7,25 7
808_D2_1_classes_21_12,12 21
1314_C6_9_classes_6,6
919_G6_1_classes_25_18,25 18
862_A7_1_classes_5_0,0 5
187_C4_2_classes_7,7
291_E9_2_classes_25_21_0,0 25 21
1_C2_1_classes_4,4
972_F12_4_classes_21_0,0 21
858_F7_2_classes_25_23_0,0 25 23
754_B10_5_classes_21_0,0 21
1542_E9_2_classes_23_0,0 23
1153_B9_3_classes_11,11
462_D4_1_classes_25_1_0,0 25 1
175_H10_1_classes_14,14
1591_F5_3_classes_21,21
129_C3_1_classes_23,23
1001_G11_1_classes_23,23
221_C8_1_classes_23,23
901_E12_2_classes_25_6_2,25 2 6
579_E10_3_classes_23,23
440_G10_2_classes_25_3_0,0 25 3
320_H10_1_classes_25_21,25 21
498_D10_1_classes_12_0,0 12
610_D10_1_classes_18,18
516_E9_5_classes_23,23
1607_D9_2_classes_21_18,18 21
332_C3_1_classes_22,22
448_A3_1_classes_23_0,0 23
1352_C1_2_classes_5_0,0 5
799_G10_1_classes_25_2,25 2
382_C8_2_classes_21,21
684_F5_2_classes_23,23
54_D8_1_classes_25_21_0,0 25 21
914_G11_3_classes_25_6_0,0 25 6
1416_H10_2_classes_25_5,25 5
1736_B9_27_cr5805f911b3adf_classes_23_0,0 23
453_D9_1_classes_25_21,25 21
1286_D1_4_classes_5_0,0 5
485_D9_4_classes_3,3
1403_F5_3_classes_3_0,0 3
180_H10_3_classes_23,23
721_G11_1_classes_22_7,22 7
606_A2_2_classes_23,23
271_D5_2_classes_25_21_2,25 2 21
209_C7_2_classes_21,21
408_B5_1_classes_7_0,0 7
290_C12_2_classes_25_19_0,0 25 19
809_E11_1_classes_2_0,0 2
831_C11_3_classes_25_12_0,0 25 12
1245_G5_2_classes_4,4
366_H10_1_classes_25_11,25 11
1702_C6_31_classes_23,23
33_E9_1_classes_2,2
562_C10_4_classes_22_21,21 22
10_G1_2_classes_21,21
1373_C8_3_classes_25_22_5_0,0 25 5 22
652_D5_3_classes_11_0,0 11
1015_G6_4_classes_5,5
534_F10_1_classes_23,23
138_F7_1_classes_25_2,25 2
13_D5_1_classes_2,2
535_A3_2_classes_19,19
719_A7_1_classes_23,23
295_E3_2_classes_25_21,25 21
489_E11_1_classes_25_2_0,0 25 2
1744_G3_10_cr5807571f4620d_classes_21,21
993_B12_2_classes_23,23
994_C10_4_classes_7,7
8_A7_2_classes_7_0,0 7
285_H2_2_classes_8,8
519_A2_2_classes_23,23
1608_B6_3_classes_5_0,0 5
7_F4_2_classes_4,4
1414_A6_6_classes_25_6_2,25 2 6
1304_E5_4_classes_21,21
71_C2_1_classes_25_21,25 21
36_D10_1_classes_25_6,25 6
781_E7_2_classes_2_0,0 2
154_G7_2_classes_1_0,0 1
604_A1_2_classes_19,19
740_A4_2_classes_5_0,0 5
291_H4_1_classes_25_4,25 4
914_E5_1_classes_16_7,16 7
506_G4_1_classes_25_23,25 23
1482_D3_2_classes_1_0,0 1
254_F4_2_classes_25_21_0,0 25 21
1250_H11_6_classes_21_12,12 21
1453_E11_4_classes_23_2,2 23
1690_C9_2_classes_21,21
1005_F1_1_classes_4,4
1259_E3_5_classes_22_19,19 22
436_F3_1_classes_25_19,25 19
152_A11_1_classes_25_21_7,25 21 7
1748_C1_21_cr5805cbac8d55f_classes_2_0,0 2
417_D9_2_classes_19_0,0 19
1149_A9_5_classes_23,23
993_B1_1_classes_23,23
154_A6_2_classes_23,23
49_H1_2_classes_25_5,25 5
1210_F12_1_classes_23_2,2 23
883_A8_2_classes_25_7,25 7
138_D12_2_classes_1,1
583_B12_5_classes_7,7
9_G8_2_classes_23_5_0,0 5 23
560_H5_5_classes_25_2_0,0 25 2
949_C3_3_classes_1_0,0 1
1254_E7_1_classes_23,23
1354_F3_3_classes_25_21,25 21
256_F10_1_classes_4,4
248_H10_1_classes_23,23
435_C8_3_classes_25_21,25 21
1757_B7_4_classes_25_23,25 23
874_F6_2_classes_21,21
57_F3_2_classes_25_12,25 12
34_C7_2_classes_13_12,12 13
1082_A10_5_classes_7_0,0 7
925_E12_1_classes_25_23_0,0 25 23
1194_A12_3_classes_2_0,0 2
1582_H7_2_classes_2,2
1352_F9_1_classes_4,4
366_C3_2_classes_25_21_11,25 11 21
1417_A9_3_classes_5_1_0,0 1 5
1754_G1_13_cr57f3cc45724b9_classes_22_4,4 22
1043_C7_1_classes_4,4
1211_G4_2_classes_2,2
1772_B2_6_classes_25_18_4,25 18 4
517_H6_2_classes_19_0,0 19
260_D4_1_classes_23,23
880_C11_1_classes_21,21
1150_F7_2_classes_19_0,0 19
1013_D11_2_classes_5_0,0 5
258_G9_2_classes_23,23
776_F3_2_classes_7,7
1356_F7_3_classes_23_4,4 23
916_F8_1_classes_25_2_0,0 25 2
107_F3_1_classes_21,21
2_A1_2_classes_7,7
764_H4_1_classes_7,7
1282_D7_5_classes_23,23
1769_A8_13_cr5950e8f2adc9e_classes_21_0,0 21
869_C7_2_classes_23,23
319_E12_2_classes_25_7,25 7
1359_A4_1_classes_2,2
1209_C10_2_classes_23,23
1744_F11_12_cr57fe243f155d5_classes_25_21_16,16 25 21
1350_A1_1_classes_25_2_0,0 25 2
1080_D8_2_classes_22_19_0,0 19 22
807_F12_2_classes_25_1,25 1
813_F7_4_classes_21_7,21 7
516_F5_1_classes_5_0,0 5
322_E6_1_classes_25_21,25 21
895_E10_2_classes_7,7
104_G10_2_classes_2,2
1102_G9_3_classes_25_4,25 4
629_G7_1_classes_25_21,25 21
951_H4_1_classes_2,2
150_H8_2_classes_25_21_0,0 25 21
627_B4_1_classes_25_21_0,0 25 21
101_E2_2_classes_6,6
298_G11_2_classes_25_14,25 14
1070_A11_1_classes_23,23
1421_B3_4_classes_24_7,24 7
1327_D10_2_classes_23,23
798_F11_2_classes_4,4
739_H10_2_classes_25_5_0,0 25 5
1104_A5_2_classes_1,1
1509_A11_5_classes_25_19_0,0 25 19
1308_G12_6_classes_4,4
1446_B5_2_classes_21,21
1272_C1_1_classes_24_0,24 0
35_D11_1_classes_23,23
193_E2_2_classes_18_0,0 18
1250_E5_2_classes_3_0,0 3
979_E9_4_classes_25_5_0,0 25 5
1026_C11_3_classes_3_0,0 3
487_G11_1_classes_4,4
1343_G10_1_classes_22,22
185_F10_2_classes_25_7_0,0 25 7
1386_E12_2_classes_3_0,0 3
800_D1_2_classes_14,14
417_A3_2_classes_25_7_0,0 25 7
8_C7_1_classes_4,4
99_C5_1_classes_25_5,25 5
333_G5_1_classes_22_0,0 22
331_G5_3_classes_3_0,0 3
431_F10_2_classes_25_23,25 23
485_H10_2_classes_19,19
298_A3_2_classes_7_0,0 7
1134_D8_1_classes_2,2
454_B7_2_classes_5_0,0 5
845_G9_2_classes_23,23
1544_A3_2_classes_23,23
441_E1_1_classes_23_0,0 23
564_F8_2_classes_3_0,0 3
604_F2_1_classes_21,21
1006_E9_2_classes_22_21_4,4 21 22
978_F2_3_classes_21_0,0 21
629_H10_4_classes_2,2
20_D1_1_classes_1,1
484_C3_1_classes_21_7,21 7
300_A3_3_classes_5_0,0 5
410_B3_3_classes_25_21_0,0 25 21
1502_C9_5_classes_7,7
627_H1_2_classes_23,23
1385_B10_7_classes_22_0,0 22
432_A3_3_classes_23,23
870_D9_1_classes_7,7
722_C8_1_classes_25_21_0,0 25 21
1209_B1_2_classes_4,4
248_A8_2_classes_25_21_12,25 12 21
230_H2_1_classes_14_0,0 14
776_D6_1_classes_23,23
723_B3_2_classes_23,23
1752_A1_13_cr5804bc81d6304_classes_2_0,0 2
1521_A10_3_classes_5,5
1393_F8_4_classes_2,2
749_D4_1_classes_2_0,0 2
1787_G3_24_cr5968c2a6212eb_classes_23_2,2 23
604_C7_1_classes_12,12
833_E1_2_classes_5_0,0 5
766_F7_4_classes_7_0,0 7
277_F5_2_classes_25_2,25 2
1757_F2_5_classes_6,6
526_A6_2_classes_22_0,0 22
1435_A3_2_classes_5_0,0 5
1483_E8_6_classes_25_5,25 5
1102_F7_7_classes_23,23
896_C10_4_classes_2_0,0 2
618_E5_6_classes_25_21,25 21
493_C9_2_classes_25_21,25 21
964_C6_1_classes_7,7
1511_B8_4_classes_7,7
635_D4_3_classes_25_21_0,0 25 21
539_D3_2_classes_7,7
1219_D10_2_classes_22_0,0 22
30_H5_1_classes_7_0,0 7
365_G3_2_classes_23,23
583_A12_1_classes_5,5
385_D2_3_classes_25_21_13,25 13 21
1446_A5_3_classes_14_5,5 14
735_B12_6_classes_23,23
455_C7_1_classes_25_21,25 21
1011_A9_6_classes_23,23
79_D1_1_classes_21,21
711_D3_4_classes_2_0,0 2
799_A7_1_classes_25_12,25 12
946_G7_3_classes_14,14
1392_C8_3_classes_5,5
303_E8_1_classes_25_2_0,0 25 2
783_A2_1_classes_2,2
732_A5_1_classes_2,2
1357_C12_6_classes_25_16,16 25
1235_C1_3_classes_21,21
443_B8_2_classes_6,6
113_C9_1_classes_21_0,0 21
454_B4_2_classes_21,21
76_G1_1_classes_23,23
952_G4_3_classes_19_0,0 19
834_G3_1_classes_7_0,0 7
295_F7_1_classes_7,7
43_A9_1_classes_25_5_0,0 25 5
1139_E5_1_classes_25_7,25 7
1595_G5_3_classes_7_5_0,0 5 7
1269_E2_1_classes_5,5
1345_D2_5_classes_1,1
726_E8_1_classes_21_0,0 21
873_A3_4_classes_23,23
569_H4_1_classes_25_2_0,0 25 2
1446_G10_2_classes_4,4
396_E11_2_classes_25_19_0,0 25 19
117_A6_1_classes_4,4
835_D2_2_classes_16,16
641_G4_4_classes_25_21_0,0 25 21
1176_C6_2_classes_7,7
566_H7_4_classes_25_21_14,25 21 14
193_A10_1_classes_2,2
711_H6_1_classes_23_0,0 23
240_G3_1_classes_7_0,0 7
87_G9_2_classes_25_3_0,0 25 3
222_C10_1_classes_7,7
832_B8_2_classes_21,21
27_B9_1_classes_21,21
1080_C3_1_classes_7,7
1040_F3_1_classes_14,14
97_F4_2_classes_7,7
564_A9_1_classes_4,4
723_E2_1_classes_4,4
402_C10_4_classes_23,23
166_F8_2_classes_23_1,1 23
879_E3_3_classes_18,18
1744_C7_12_cr580488e1f2732_classes_25_19,25 19
958_F12_2_classes_2_0,0 2
323_F8_4_classes_14,14
837_B2_1_classes_23,23
1136_B1_6_classes_23,23
1614_B7_3_classes_25_21,25 21
721_H6_1_classes_2_0,0 2
430_A9_4_classes_7,7
1310_G4_1_classes_11_0,0 11
1612_B5_2_classes_7,7
330_A10_1_classes_3_0,0 3
1049_C8_1_classes_21_0,0 21
435_A11_2_classes_25_2,25 2
542_A9_1_classes_23_3_0,0 3 23
481_A12_1_classes_7,7
681_G8_5_classes_13,13
1493_F10_1_classes_21,21
1368_C12_5_classes_23_11,11 23
234_H8_2_classes_8,8
1042_H11_1_classes_25_24,24 25
1080_F4_2_classes_7,7
178_G9_2_classes_23,23
510_H9_2_classes_2_0,0 2
188_A2_2_classes_25_21_0,0 25 21
1392_F8_2_classes_2,2
1568_C2_3_classes_6,6
181_A1_1_classes_25_21,25 21
232_C4_2_classes_4_0,0 4
170_A1_1_classes_25_18,25 18
168_D5_2_classes_23,23
532_G5_3_classes_2,2
1041_F6_1_classes_5_0,0 5
831_G1_2_classes_23,23
1100_G4_3_classes_25_2_0,0 25 2
954_E11_1_classes_14_0,0 14
1377_F1_1_classes_21_12_6,12 21 6
248_C5_2_classes_23,23
855_D9_1_classes_25_22_21_18,25 18 21 22
39_F7_2_classes_14_0,0 14
408_A6_1_classes_2_0,0 2
875_A1_3_classes_3,3
290_A11_1_classes_25_21,25 21
176_A4_1_classes_10_9,9 10
51_G5_2_classes_7,7
152_B6_2_classes_25_21,25 21
1041_F8_2_classes_21_0,0 21
1409_E6_3_classes_22_3,3 22
1690_B4_4_classes_26,26
100_A1_1_classes_23,23
87_G1_1_classes_4,4
369_C3_2_classes_25_21,25 21
41_D5_1_classes_23,23
373_B11_1_classes_25_21,25 21
546_B9_2_classes_21_14,21 14
1201_E12_6_classes_13,13
405_F7_4_classes_23_0,0 23
320_G1_1_classes_25_11,25 11
722_D6_3_classes_7,7
1592_G3_3_classes_6,6
791_D12_2_classes_23,23
372_E3_1_classes_23_0,0 23
776_H7_1_classes_5_0,0 5
1171_E4_2_classes_2,2
761_C6_1_classes_2,2
539_B8_4_classes_12_0,0 12
860_A1_2_classes_25_21,25 21
1773_F9_2_classes_25_6,25 6
327_A6_6_classes_25_23,25 23
1400_H3_2_classes_2,2
428_B11_2_classes_2_0,0 2
126_F5_2_classes_6,6
219_A8_3_classes_23_18,18 23
80_G7_1_classes_23,23
764_E7_1_classes_18,18
1667_G11_3_classes_21_12,12 21
285_B3_1_classes_25_21,25 21
1736_E4_2_cr5805f792b00c8_classes_5_0,0 5
800_G6_2_classes_23,23
389_D4_2_classes_2_0,0 2
1437_D2_2_classes_19_7_0,0 19 7
376_D10_2_classes_25_21,25 21
501_F7_1_classes_7_0,0 7
224_F3_1_classes_25_23,25 23
477_C3_2_classes_2_0,0 2
1337_G9_11_classes_2_0,0 2
117_B5_2_classes_19,19
126_E9_1_classes_6,6
958_F8_1_classes_2_0,0 2
1762_C12_4_classes_7,7
1029_F10_2_classes_7_0,0 7
75_D12_2_classes_23,23
1034_E1_5_classes_2_0,0 2
1356_C9_3_classes_22_21,21 22
344_A2_2_classes_19_11,11 19
1039_D6_3_classes_1,1
1676_E9_3_classes_19,19
62_C4_2_classes_2,2
699_A9_3_classes_12_0,0 12
1154_F5_1_classes_23_19,19 23
1484_G3_6_classes_1_0,0 1
460_A6_2_classes_23,23
1717_B3_24_cr594b6cf920735_classes_21_0,0 21
117_C2_2_classes_2_0,0 2
364_F12_1_classes_25_21,25 21
152_C4_1_classes_23,23
47_E12_2_classes_7,7
402_A2_3_classes_25_2,25 2
610_G1_1_classes_1_0,0 1
462_G8_2_classes_25_21,25 21
1061_F10_3_classes_25_21_0,0 25 21
738_F5_1_classes_23,23
455_F12_3_classes_25_1_0,0 25 1
735_G5_1_classes_25_21,25 21
1182_A12_1_classes_2_0,0 2
445_B10_2_classes_7,7
194_G10_2_classes_23_1,1 23
1551_D3_6_classes_7,7
242_G5_1_classes_7,7
1396_H11_4_classes_7,7
241_A11_2_classes_25_21,25 21
10_G2_2_classes_6,6
1500_C2_6_classes_4,4
291_F3_1_classes_25_21_5,25 5 21
526_E9_2_classes_3,3
234_D4_4_classes_23,23
837_D6_7_classes_23,23
973_A8_1_classes_7,7
713_H6_1_classes_24_1,24 1
435_G4_1_classes_7_0,0 7
146_E8_1_classes_23,23
277_C5_1_classes_13_0,0 13
1213_B1_5_classes_7,7
51_C12_1_classes_7_0,0 7
476_B7_2_classes_23,23
342_H6_2_classes_14,14
120_D5_2_classes_21,21
607_H1_4_classes_4,4
1151_C5_1_classes_5_0,0 5
1515_D8_1_classes_25_19,25 19
742_D5_1_classes_3_0,0 3
52_H5_2_classes_23,23
1640_E3_3_classes_5_0,0 5
527_B8_2_classes_2,2
445_H4_2_classes_2,2
516_C9_1_classes_6,6
833_D12_1_classes_25_21,25 21
1048_A8_2_classes_25_14,25 14
