,blue_corr_with_green,blue_mask_green_mean,blue_mean,blue_non_zero_mean,blue_std,green_mean,green_non_zero_mean,green_std,luminosity,red_corr_with_green,red_mask_green_mean,red_mean,red_non_zero_mean,red_std,size
1050_F6_6,0.12226234624152138,0.07705406952930563,0.09486816163156553,0.5029668807983398,0.23619594992943432,0.04781630459953756,0.8045186996459961,0.08136383623234039,0.07613435462521576,0.12226234624152138,0.04698083008256688,0.1650359939126409,0.8957211971282959,0.19351037595063275,2048
1054_E4_1,0.4133314374214022,0.19285272307787432,0.06057417532976934,0.5272717475891113,0.12970555863478642,0.15040698425442559,0.9698076248168945,0.12131872024084366,0.14376623307433778,0.4133314374214022,0.16373835731668798,0.14967875106661924,0.8189036846160889,0.17972602240693547,2048
1054_E4_2,0.4443997529097822,0.18506922007378554,0.07063577315386606,0.5139205455780029,0.154096677747802,0.14125181833903008,0.9260070323944092,0.11304163690695156,0.13634958033879607,0.4443997529097822,0.16148692220195796,0.1421748684901816,0.7656002044677734,0.1783490218058789,2048
1104_E7_2,0.7494893632186267,0.11195123889305791,0.08378585927626675,0.5310168266296387,0.17282652155721565,0.09060007263632387,0.8321216106414795,0.11223491428407333,0.10922653287345287,0.7494893632186267,0.09734123968198641,0.1805269138485777,0.9266414642333984,0.15646921324509674,2048
1105_F10_2,0.2075495874901157,0.1233554405466537,0.06412245245540847,0.4412360191345215,0.14924224415952983,0.07105627994911345,0.7844398021697998,0.10110581550294045,0.07664131058767724,0.2075495874901157,0.08006617490861392,0.09968117639130228,0.7560880184173584,0.1386402371526165,2048
1125_B9_4,0.631327443298082,0.15607068714286979,0.05881085115320544,0.31073951721191406,0.17895342852531756,0.07424265263127343,0.5244615077972412,0.10852841312628736,0.08086998574630891,0.631327443298082,0.14035270013883813,0.11065614831213863,0.5051178932189941,0.177397966864842,2048
1125_F6_3,-0.02396396197153179,0.065602453846071,0.0651892811644311,0.39665842056274414,0.16697684027044069,0.029248143177406434,0.5130865573883057,0.06700676288786535,0.049214888433942665,-0.02396396197153179,0.03295605851177497,0.11095931483250028,0.7013485431671143,0.1487617975883415,2048
1139_A12_4,0.42164605368881447,0.06486657379118851,0.06291489414140287,0.3887159824371338,0.17675174339849167,0.04287857728845934,0.6399040222167969,0.07613438159090316,0.050717283295650104,0.42164605368881447,0.06097169758738456,0.0729448234333712,0.6813879013061523,0.09598970638769917,2048
1139_D5_5,0.14237400864626124,0.05284469901202388,0.08090676326377723,0.46006178855895996,0.18638226198970848,0.03018541990541943,0.6977250576019287,0.06135298710510011,0.04539869065228631,0.14237400864626124,0.03467698143752434,0.0845183914782953,0.7246682643890381,0.13034099357436213,2048
1144_A10_4,0.05630889302129124,0.04494069881775322,0.09594427931542497,0.5005555152893066,0.17498152643311257,0.02475263838674507,0.527827262878418,0.06398417505668202,0.04198336637160355,0.05630889302129124,0.031650712384596894,0.08162324755799535,0.6174671649932861,0.134838016675218,2048
1147_D3_13,0.17463481391391367,0.07727567083084326,0.08059086706124097,0.4866950511932373,0.18041946925999006,0.039923433229035,0.587393045425415,0.09489651617898959,0.05865270229676191,0.17463481391391367,0.045154359489940676,0.11420885347852527,0.7878684997558594,0.15397562738560058,2048
1150_H4_7,0.576343097061594,0.0942580113847798,0.010178062027575912,0.16538739204406738,0.04541777468672777,0.024910827711516727,0.2647998332977295,0.07381867544990728,0.02655132794529783,0.576343097061594,0.09253535700459721,0.03763051687502396,0.2547628879547119,0.10066960448704276,2048
1158_H11_8,0.35647721487698286,0.014741613944396475,0.06833024211958341,0.3974447250366211,0.1777818501383228,0.007842095692952468,0.41391515731811523,0.016646873673975986,0.04045270561087364,0.35647721487698286,0.01065197321343451,0.14068953570197612,0.7140688896179199,0.18472993340596036,2048
1169_D3_6,0.013435468540902861,0.13203169356416136,0.07412789195191613,0.35895514488220215,0.18487373536481455,0.05010588496339086,0.5108616352081299,0.11791194490943491,0.05361367763500584,0.013435468540902861,0.05945410327256559,0.05844738904167629,0.5931494235992432,0.10261876764319494,2048
1178_D4_2,0.7496847445883515,0.154630627779532,0.12923979291728893,0.5449037551879883,0.24501641111781544,0.12422050962261112,0.9046430587768555,0.1306742818077332,0.14323468511768428,0.7496847445883515,0.13950598491200522,0.21195232166963468,0.8567459583282471,0.2486292002589463,2048
1178_F9_6,0.36747357392552527,0.09154487264835251,0.07874630853241564,0.38784360885620117,0.18387901448036284,0.048119068145751974,0.5988481044769287,0.07407800054965927,0.06507644416023706,0.36747357392552527,0.0726287263880029,0.11747978902330593,0.6036467552185059,0.1861602221602039,2048
1179_H7_1,0.39298826136211895,0.17932527023235903,0.0939819868873148,0.4182577133178711,0.22319532565005018,0.09832901674158447,0.7251770496368408,0.12784855769147332,0.09948530388158908,0.39298826136211895,0.1329238357843358,0.10524408116060151,0.6645553112030029,0.16614373667486426,2048
1179_H7_2,0.4389002217575645,0.1705468239658417,0.10108410143384741,0.4815948009490967,0.21874513022040037,0.11007359542098705,0.8160178661346436,0.11759765461328306,0.11959702211024717,0.4389002217575645,0.13676707517342543,0.15792151712903782,0.7518045902252197,0.1951373326167525,2048
1183_F4_2,0.541080606286951,0.15381920858936643,0.07888917174993783,0.45691442489624023,0.17230700890229508,0.11138805875591207,0.7738463878631592,0.14305284691059783,0.10795833887287205,0.541080606286951,0.15209285705482703,0.1062925731434541,0.6638169288635254,0.14931957487143027,2048
1207_B10_7,0.13230913719989762,0.13574102355084142,0.10413479337505269,0.5592494010925293,0.1902943785875821,0.11262687982297398,0.881972074508667,0.1598737979924632,0.11864123218985158,0.13230913719989762,0.11641491321995626,0.14380035587385612,0.8150324821472168,0.17534375747232395,2048
1213_C4_2,0.0844910339025664,0.04697557949292003,0.1077520697724585,0.4033203125,0.2146522431756741,0.02097519332287358,0.4429647922515869,0.05350162633606833,0.042413996756310544,0.0844910339025664,0.031718900183863384,0.09234637372634,0.5480659008026123,0.14659469021664218,2048
1213_C4_3,0.20847547500468552,0.049377428892538607,0.07753392668331373,0.32197117805480957,0.18755504112733026,0.01850124620923811,0.3694915771484375,0.04648512775984737,0.04951307944148195,0.20847547500468552,0.03520726285833075,0.14432285346236862,0.48485755920410156,0.23646726087121894,2048
121_C6_2,0.6939759610868089,0.15111949570412625,0.03237666114649733,0.2669069894547325,0.11159033621648323,0.051674646169124365,0.39367491587362824,0.10903385752673717,0.04919273022147708,0.6939759610868089,0.14712276876410849,0.04655422552465775,0.3204280398019547,0.11901350981513112,1728
1231_F9_5,0.21688878006437765,0.04361080719246897,0.09768300710939902,0.5468554496765137,0.18379120847694994,0.03484493143418257,0.7360398769378662,0.06954566764033596,0.062274488844217005,0.21688878006437765,0.03710511850593689,0.14252436862272366,0.8683273792266846,0.17352876259311703,2048
1237_G1_4,0.6365016672259476,0.11161034473705557,0.039173209433462114,0.31873464584350586,0.13034496295362558,0.06275753881417069,0.610288143157959,0.09911349748801472,0.06289638652352725,0.6365016672259476,0.10381437784604818,0.07141998608907058,0.5906548500061035,0.1457911467571097,2048
1245_B2_2,0.6899376004929917,0.1331046862093917,0.038778044195736085,0.22298192977905273,0.14698105766704558,0.04157273348639995,0.3773193359375,0.09400037041874548,0.044070660169825825,0.6899376004929917,0.10903396283733807,0.05427124360028442,0.35719895362854004,0.1437536541894734,2048
1245_B2_3,0.671354539487866,0.19184459526889316,0.043428092844345983,0.2531461715698242,0.145092816317928,0.07135936045179186,0.43962574005126953,0.13316981888177776,0.0687072644201914,0.671354539487866,0.1657479481007087,0.06837037404378245,0.40369701385498047,0.15300527473392916,2048
1255_A3_4,-0.03474367532875222,0.07184019161259055,0.11620345115661612,0.6731493473052979,0.18762997863519584,0.052812562269323,0.8199365139007568,0.0728753944696162,0.08787698767231954,-0.03474367532875222,0.0505573879724476,0.19621615222856106,0.9636290073394775,0.17251796309088088,2048
1259_A11_4,0.23604766953403022,0.041328764537996186,0.13942073934218477,0.6056673526763916,0.23756133271519175,0.031155041152355723,0.8069777488708496,0.03272230434264499,0.04299922251196473,0.23604766953403022,0.03590020524869888,0.050098587484920756,0.7405457496643066,0.0726416869111299,2048
1264_G1_1,0.32263472730015175,0.021999753149441664,0.052836506974463314,0.3316056728363037,0.15909871856586633,0.010471993801640525,0.4393332004547119,0.024959621574313317,0.03076307914715183,0.32263472730015175,0.016581040127336532,0.09152734419878783,0.5965468883514404,0.1527650987919759,2048
1276_C3_2,0.47430903059647367,0.23729447569799256,0.0474565730375402,0.3926074504852295,0.11690751221581029,0.13807070956510653,0.7067687511444092,0.17226599497164266,0.11690432054164357,0.47430903059647367,0.20850549261072565,0.06928402863296802,0.5254435539245605,0.1272268207751787,2048
1283_B2_10,0.1692313105958069,0.10718157178908705,0.05765980926214479,0.2854337692260742,0.16807444296197507,0.03330165264653225,0.39122462272644043,0.09582623166653075,0.04142267117070216,0.1692313105958069,0.06401230392382494,0.06322808546178482,0.39884400367736816,0.1441968127893642,2048
1283_F10_2,0.06571657131934365,0.07448770565103652,0.08855447675667552,0.41167497634887695,0.2127494274754617,0.03536752999997604,0.5742514133453369,0.0650991500771444,0.056368483722350225,0.06571657131934365,0.04342866596954174,0.1160865147908529,0.6693863868713379,0.17506898538678314,2048
1283_F10_4,0.09655112222500717,0.06878871621952348,0.0845993257036396,0.3879561424255371,0.1968624237566536,0.030362423728494098,0.5293669700622559,0.05693938554531812,0.045557769434311814,0.09655112222500717,0.042238841478398084,0.08341718094021662,0.5915677547454834,0.13502765433790162,2048
1293_E3_2,0.23066522390688984,0.14140629124673273,0.07182300979015874,0.29282259941101074,0.17571677241176267,0.04295861861285045,0.34191107749938965,0.10908761501977038,0.0475048556286681,0.23066522390688984,0.09886564330466091,0.05454012365902168,0.3477935791015625,0.1257354656997167,2048
1308_A5_4,0.0901794092194769,0.09277326715964915,0.0761903856314866,0.3368039131164551,0.1745434775481006,0.03376648659799611,0.4293699264526367,0.0834525877728207,0.04869955258893034,0.0901794092194769,0.05562186539826829,0.08959932046778055,0.47958874702453613,0.1675833541216375,2048
1314_D2_2,0.4795662523826591,0.10629414226569664,0.04037833961786004,0.3757956027984619,0.12120704972977395,0.05934292007895077,0.6696665287017822,0.07908256532220465,0.06404591796650606,0.4795662523826591,0.08616973876781397,0.08790472909515976,0.6214303970336914,0.14035932162825182,2048
1335_C10_2,-0.20761569978296895,0.21584235294897153,0.1257998765683641,0.5757389068603516,0.21664997470262182,0.13411061997507132,0.8369095325469971,0.2203415677370749,0.1395397786402235,-0.20761569978296895,0.11332476579086158,0.16246995364918415,0.8726024627685547,0.17506201982581757,2048
1335_C10_4,-0.07926719764778074,0.21228365224071716,0.09604686942755004,0.5113327503204346,0.18053095769494243,0.11624730521557367,0.7048873901367188,0.215011881830788,0.10962865592863047,-0.07926719764778074,0.11254477658309446,0.0919755374684054,0.6028051376342773,0.17512427618815501,2048
1335_C6_2,0.08544788903476375,0.011203907221525037,0.10485554956922344,0.5365297794342041,0.18363521477398362,0.00751515089296827,0.4956352710723877,0.021786134777448323,0.03392137826246374,0.08544788903476375,0.0076420937068209975,0.09866402476441623,0.8663990497589111,0.12308863413501983,2048
1335_D2_2,0.08227027958567588,0.1248798869283244,0.10891908477334421,0.5628056526184082,0.19351628491499748,0.08635803297454234,0.8770036697387695,0.12190961595962828,0.08853337576361266,0.08227027958567588,0.0832572591155002,0.0889282815596637,0.791154146194458,0.11852291467289063,2048
1339_B9_2,0.07116569063262286,0.11800086561062277,0.06540783152860745,0.36310839653015137,0.17223260028941642,0.048035658107084364,0.5239570140838623,0.10380260953200991,0.054877534124337005,0.07116569063262286,0.06323030888376416,0.07431790220971196,0.5952565670013428,0.10880754370937563,2048
1339_D3_3,0.013758046836861978,0.04533066991495186,0.0798436744540346,0.39217138290405273,0.1893736677731475,0.01965017318725588,0.41358137130737305,0.054696228712059584,0.044689169840719176,0.013758046836861978,0.02607448083455366,0.11698331458895815,0.626288652420044,0.15939852065228208,2048
1346_H6_3,0.1708474432496591,0.057729078816148006,0.048308755837234804,0.3000469207763672,0.153184368289995,0.022207439647001375,0.4444425106048584,0.057533246119487395,0.039316107315923686,0.1708474432496591,0.036542030202145165,0.09381681236566285,0.5285210609436035,0.1556962637799519,2048
1386_G4_2,0.08594188067856023,0.08506292502032316,0.12259210698744824,0.5479240417480469,0.18531577286860854,0.056908415813072065,0.7468917369842529,0.07478044356493971,0.06819611310173485,0.08594188067856023,0.06715412027219421,0.0876955032348633,0.6609663963317871,0.1581619478653269,2048
138_B12_1,0.42913046539352245,0.04456329322962424,0.08911256002422403,0.49106458708419065,0.19168978714259916,0.027908483861437225,0.601219899369856,0.043727727202370614,0.08340839832586738,0.42913046539352245,0.03676501000209247,0.268176499691526,0.752489631558642,0.25784841069141035,1728
1413_F11_6,0.40535560380341096,0.0839853307248083,0.08019239668752627,0.359677791595459,0.18070613561343327,0.03636348107281852,0.5199131965637207,0.0672917853626604,0.0393087390733232,0.40535560380341096,0.06418138418306506,0.03533248527377263,0.45557141304016113,0.0673741199708194,2048
1414_D12_2,0.4432099452629864,0.32419880136643314,0.08686935200410736,0.38975954055786133,0.17965968537578064,0.15309113988689352,0.5277652740478516,0.21281599491863926,0.12598640732148117,0.4432099452629864,0.288028437439774,0.048088696423698875,0.41588425636291504,0.10112423232094586,2048
1416_D10_6,0.13734952220070354,0.11507860861348214,0.09405272334229717,0.3589484691619873,0.2065606755553103,0.04621790904624791,0.5119595527648926,0.08113655384135665,0.05493365345431307,0.13734952220070354,0.0744091400434082,0.07096894769107592,0.4834263324737549,0.12716815022839617,2048
1421_G5_7,0.5432789539474036,0.042197985050834844,0.05410233291925164,0.44811248779296875,0.10864358994528811,0.024608124938665668,0.5689270496368408,0.04501994742531146,0.04075718314993612,0.5432789539474036,0.03775040856468022,0.09055156988256113,0.6192054748535156,0.14748044018860493,2048
1423_A4_2,0.6972715854679121,0.16149493385589336,0.10741433162315213,0.6033535003662109,0.1686070787697812,0.13363792849522005,0.937518835067749,0.1161275957172402,0.12120615000762194,0.6972715854679121,0.15146623258798914,0.08406862090615658,0.803760290145874,0.09901657198195817,2048
1432_F2_2,0.5986639157126704,0.14583565754495703,0.045656727809532026,0.23201274871826172,0.1384465430374243,0.04807651744169348,0.35448598861694336,0.10373884778169,0.04839342632424596,0.5986639157126704,0.13795164310359342,0.050388924280802404,0.319976806640625,0.12007568583481576,2048
1495_F7_3,0.4558813663030495,0.09744984972276784,0.047846935309615764,0.2571725845336914,0.15747035800467393,0.03486129536348233,0.4301421642303467,0.07068422449099017,0.03808563542683916,0.4558813663030495,0.07711560741449938,0.0456175364700018,0.3957695960998535,0.09556845457128776,2048
1581_B12_2,0.6360350380494032,0.0659673042018848,0.08698479147518379,0.5365872383117676,0.14092993784313024,0.04596101349475341,0.7299854755401611,0.05688874660042399,0.054429872402490365,0.6360350380494032,0.05987185303907357,0.07186384575039728,0.7186577320098877,0.10736703842673313,2048
1581_B12_3,0.5974345118020639,0.07549368348537933,0.11399682736864265,0.5762145519256592,0.16918879145303634,0.05540502585616767,0.7839047908782959,0.06169757827756738,0.061843358182346105,0.5974345118020639,0.06928928668966658,0.06579074672624174,0.7337884902954102,0.09460117224434657,2048
1609_C4_2,0.37512916418931147,0.11841532738077033,0.07890574791852165,0.48168325424194336,0.14254904903248714,0.06867246347315173,0.7279751300811768,0.08886885932641783,0.07199674725775618,0.37512916418931147,0.08635178801274901,0.08083352014130238,0.6977992057800293,0.11102836305031097,2048
1642_G7_34,0.6153235371107262,0.05742190522150066,0.035822985219020484,0.5274465084075928,0.07432815217524251,0.043413842893114285,0.8281183242797852,0.06803111427257043,0.038650011699152935,0.6153235371107262,0.05447889973240021,0.023584250842823718,0.6811048984527588,0.037921817090776334,2048
1645_E1_32,0.7609906895286523,0.11380021517115851,0.04612344480028339,0.3865022659301758,0.11331069377139617,0.06587316756154972,0.6392245292663574,0.1096695834545419,0.06116067924611709,0.7609906895286523,0.10089571541699587,0.05041428547279509,0.6229724884033203,0.0844767504044376,2048
1645_E5_34,0.3159064854019545,0.06715855510202255,0.04954409318811754,0.3342437744140625,0.1319902211201373,0.028149075601615167,0.5052602291107178,0.04986266313228768,0.0350965541267395,0.3159064854019545,0.04681079049118362,0.05356186137479898,0.5211451053619385,0.09665722274757742,2048
1656_F5_2,0.4081791975657501,0.022755412702948653,0.09022750947989669,0.5385775566101074,0.14200931698923652,0.015995240678974235,0.5946042537689209,0.024947123410558894,0.036032152591219134,0.4081791975657501,0.020724322272581315,0.08503259771010449,0.7419006824493408,0.1209616347488532,2048
1657_E10_3,0.6691667048654657,0.058012178922573786,0.08536842851077815,0.4569544792175293,0.15830377581117241,0.03735174758761541,0.6238689422607422,0.054168102565935655,0.049348381295110634,0.6691667048654657,0.057085779599243575,0.0774732402726716,0.640448808670044,0.1177578086420888,2048
1680_G4_4,0.5020675050227236,0.029881714208705383,0.05056201149435603,0.21725678443908691,0.13940679687554153,0.00807605631211225,0.25229930877685547,0.023398816215694423,0.016627714265935574,0.5020675050227236,0.026858912445618586,0.03387178533217486,0.28133511543273926,0.08950988454730789,2048
1693_E1_2,0.45836096126153525,0.07243528006268457,0.13425460796730185,0.6070866584777832,0.190449783611679,0.05967719040664976,0.861018180847168,0.04892848297004143,0.06531315718725607,0.45836096126153525,0.06956069334495336,0.06086005603565889,0.8021137714385986,0.07064510356174115,2048
1711_B12_3,0.42675064825107173,0.05187057901000514,0.03630806324528709,0.31438493728637695,0.0860478773511785,0.022765522377163745,0.45561742782592773,0.041925454437695124,0.026414731379864262,0.42675064825107173,0.04598397016967541,0.03533108000661813,0.43248963356018066,0.07154961953703284,2048
1717_G8_34,0.468021800577567,0.08624855949140445,0.09963135812796799,0.5750296115875244,0.17415843658848765,0.07372434746985349,0.934650182723999,0.05652957512131993,0.07075090250333155,0.468021800577567,0.080361722961859,0.050940099416994566,0.8076987266540527,0.07288966575988692,2048
1736_G7_31,0.6853858026822349,0.07277391481448231,0.07802671451194607,0.40726733207702637,0.17645211826665824,0.044189560647104296,0.6770706176757812,0.06867203034004649,0.04690760648054237,0.6853858026822349,0.0680455891373872,0.04548308522093527,0.6046392917633057,0.09186474679823553,2048
1751_A7_32,0.2819304117010688,0.03715154343077356,0.028767055623671565,0.39557433128356934,0.08523995126092544,0.021335350298414036,0.693490743637085,0.03253174884048137,0.02716755291041209,0.2819304117010688,0.025692812052262183,0.046244256636675744,0.7318785190582275,0.06281869674424298,2048
1754_G2_34,0.14205114069639324,0.047692537062852064,0.07715343307046334,0.4439051151275635,0.16796715751204758,0.026060460595523628,0.6240136623382568,0.041527321034142674,0.04838767369606918,0.14205114069639324,0.030972054794588363,0.11372885423548083,0.755225419998169,0.12191722728871439,2048
1758_C9_4,0.665910146980473,0.10398875888464815,0.016311558555154256,0.1735520362854004,0.07001941322410464,0.023372407988006,0.26561903953552246,0.0666546675510742,0.02475892200469968,0.665910146980473,0.08395371540481872,0.0322920098024256,0.2576484680175781,0.09895138855633812,2048
1761_A10_3,0.6497665892708712,0.060678541278238324,0.07399049553216669,0.34926605224609375,0.1529159399167316,0.029500649022121052,0.4371504783630371,0.062301700938742585,0.034564516639335505,0.6497665892708712,0.06645030647678084,0.038210435942107546,0.4187936782836914,0.0853276457662742,2048
1762_E6_5,0.2683880981291887,0.013255641353197662,0.04180606673745548,0.2799389362335205,0.10047766894039645,0.005039731193991269,0.23379993438720703,0.02346155905586773,0.015299310121723246,0.2683880981291887,0.01231887115064523,0.04081136572594738,0.39260268211364746,0.0864373235633092,2048
1762_G4_5,0.26794662553755777,0.03046190600750993,0.08637554411794622,0.6404387950897217,0.1208359376246172,0.025039608338299907,0.8298447132110596,0.0300984775432082,0.03360415773634813,0.26794662553755777,0.02709718230113369,0.0444944288216385,0.8611354827880859,0.04952068473556817,2048
1770_B5_1,0.6173050897890234,0.10656932752521062,0.04462690353393558,0.26436948776245117,0.11239862272827156,0.039628744125366204,0.38933444023132324,0.06810295257219624,0.039883325896356576,0.6173050897890234,0.10519162125008906,0.039128813089108934,0.32373523712158203,0.09838892454734832,2048
1770_D2_4,0.22970254908323,0.16870502579545774,0.048600041632558745,0.2616007328033447,0.11879194567723055,0.05124587825700349,0.3610100746154785,0.09900839234018612,0.05023500664879297,0.22970254908323,0.1269499176376916,0.04738961201088097,0.311617374420166,0.12055141874380053,2048
1772_A6_7,0.40120352566391837,0.04061914038283533,0.02658830624000698,0.2378377914428711,0.0914119780615492,0.012428504345463767,0.36640143394470215,0.027475000431179557,0.019206313172134698,0.40120352566391837,0.02949221452071503,0.039500334683586505,0.38454341888427734,0.08923260871568504,2048
1772_F9_7,0.703614777253748,0.06901736633121006,0.028386056189443544,0.26645493507385254,0.09345840820656175,0.02590744168150657,0.39809250831604004,0.06795535676462836,0.02774900049134797,0.703614777253748,0.06453767488983236,0.03372777490054858,0.3884086608886719,0.09678867122542073,2048
1772_G2_6,0.29507824435259306,0.1599027713484087,0.06572364264843508,0.4789853096008301,0.14463605106322092,0.10133143593283263,0.8052144050598145,0.11836578834043342,0.08883107620538454,0.29507824435259306,0.11861933634089362,0.05462646390877521,0.698439359664917,0.08384364732423391,2048
1772_H1_3,0.1931271279356377,0.08601341544442694,0.036419552447749144,0.4325399398803711,0.09015800479376555,0.03979435808518353,0.6280217170715332,0.10245285595766224,0.04506858105996073,0.1931271279356377,0.04945003378956779,0.06574865696476953,0.7295470237731934,0.10925970722859961,2048
1772_H1_5,0.0471833243531251,0.058741611089778455,0.0401288995555803,0.3958430290222168,0.09757526106856214,0.02570287854063745,0.558157205581665,0.05938755865598087,0.03658597218737884,0.0471833243531251,0.03225385363755768,0.07199419993980256,0.679163932800293,0.10615909333419316,2048
1772_H5_7,0.484221515236402,0.0974348911802807,0.03023339907328291,0.43570566177368164,0.07246533444576315,0.056751453175264234,0.7054438591003418,0.08792364282904352,0.052130795536976283,0.484221515236402,0.07727999979336334,0.04402307061588063,0.6479413509368896,0.07827315021373345,2048
1773_B6_11,0.6748601385495802,0.08958194788658018,0.029323719997032007,0.24596333503723145,0.09724494475408939,0.03183996911142386,0.4144165515899658,0.07523680247363924,0.03418671300813263,0.6748601385495802,0.07147714856984444,0.04373280581306005,0.4304227828979492,0.08914519169839816,2048
1773_B6_7,0.6505886214360752,0.11538565731263051,0.04567643240386364,0.3190426826477051,0.1323575707822122,0.0540102743634991,0.5250873565673828,0.09875133931839461,0.057323509018093986,0.6505886214360752,0.0994850904604,0.07242484653697304,0.5213854312896729,0.11745845475446326,2048
1773_D5_6,0.6235737177621486,0.04185569287067649,0.029276645884794353,0.304185152053833,0.08621342383922892,0.018141789529837814,0.46906232833862305,0.03919280010296881,0.03074437668706857,0.6235737177621486,0.033956484698403906,0.07363873463050992,0.5286951065063477,0.14565577348497136,2048
1773_E10_4,0.17086635733329567,0.11024887346948577,0.0381897533641142,0.40320682525634766,0.0997647552607875,0.05060230236427459,0.6520938873291016,0.10031263833310396,0.049466954040153374,0.17086635733329567,0.06766717443275612,0.04947736216526404,0.6078662872314453,0.087183604543136,2048
1773_G12_3,0.44164929719304846,0.20454465700833366,0.03738575542674347,0.2735786437988281,0.10866751944504362,0.08679901758829749,0.45323896408081055,0.1700259846608127,0.0758217576309279,0.44164929719304846,0.19766954960566763,0.05194660729052977,0.38121867179870605,0.11207805600632356,2048
19_H7_2,0.49280545822414756,0.07630889861940642,0.10450493069634403,0.388190961505487,0.21907537759584103,0.04106626288739949,0.49510848015260633,0.0904147045479058,0.07088672885288692,0.49280545822414756,0.06915709719354844,0.15978777817282613,0.5816313818158436,0.2301164626734789,1728
240_G8_1,0.1447714279623104,0.042974404051928976,0.08689158009547812,0.5375230312347412,0.17637526629674374,0.029387345033533446,0.5376920700073242,0.07456114999084415,0.06246219528796623,0.1447714279623104,0.034179138837065005,0.1654317687539494,0.8181545734405518,0.16320411598113427,2048
27_H9_2,0.5665978849699463,0.12513941537753814,0.11581377607949053,0.4217885963220165,0.22288519217819538,0.06765112619228929,0.5958478009259259,0.10627251832472671,0.1005521854520004,0.5665978849699463,0.10974364311352888,0.20605054264504175,0.6080059370713305,0.2599177133681908,1728
28_H9_1,0.5985546823611707,0.09079960663370748,0.048180637191862316,0.26561227387688613,0.1620783974831894,0.03203362711897174,0.37649799864969136,0.08703687294235128,0.049368652898761196,0.5985546823611707,0.07801012836688062,0.10808824448739544,0.4009555978866598,0.21216099832137858,1728
334_B12_2,0.03639448651721772,0.16187222528137682,0.09732034440134084,0.404681921005249,0.2154831953646203,0.06861946442547967,0.5463898181915283,0.14939089977871806,0.07115267122249978,0.03639448651721772,0.09290076538547853,0.07078787111768539,0.5886342525482178,0.12069692133699231,2048
340_F5_3,0.18058947081471025,0.06686234827810238,0.04807771981931204,0.3985459804534912,0.12324179863487182,0.04258534394058529,0.579195499420166,0.09176451014153675,0.06787642150112223,0.18058947081471025,0.05982886255301318,0.15968096022512396,0.6489365100860596,0.21072427393685708,2048
