Gene	Gene name	Reliability	Enhanced	Supported	Approved	Uncertain	Single-cell variation intensity	Single-cell variation spatial	Cell cycle dependency	GO id
ENSG00000003402	CFLAR	Supported		Cytosol;Nucleus;Plasma membrane	Nuclear bodies					Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleus (GO:0005634);Plasma membrane (GO:0005886)
ENSG00000003436	TFPI	Approved			Cytosol;Intermediate filaments					Cytosol (GO:0005829);Intermediate filaments (GO:0045111)
ENSG00000003756	RBM5	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000003989	SLC7A2	Supported		Cell Junctions;Plasma membrane						Cell Junctions (GO:0030054);Plasma membrane (GO:0005886)
ENSG00000004139	SARM1	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000004142	POLDIP2	Approved			Mitochondria					Mitochondria (GO:0005739)
ENSG00000004468	CD38	Supported		Plasma membrane			Plasma membrane			Plasma membrane (GO:0005886)
ENSG00000004478	FKBP4	Enhanced	Cytosol;Nucleoplasm							Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000004487	KDM1A	Enhanced	Nucleoplasm		Cytosol					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000004534	RBM6	Approved			Cytoplasmic bodies;Nuclear speckles					Cytoplasmic bodies (GO:0036464);Nuclear speckles (GO:0016607)
ENSG00000004660	CAMKK1	Supported		Cytosol			Cytosol			Cytosol (GO:0005829)
ENSG00000004700	RECQL	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000004766	VPS50	Uncertain				Cytosol;Plasma membrane				Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000004777	ARHGAP33	Approved			Actin filaments;Cytosol;Plasma membrane					Actin filaments (GO:0015629);Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000004779	NDUFAB1	Supported		Mitochondria	Nucleoplasm		Mitochondria			Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000004838	ZMYND10	Approved			Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000004864	SLC25A13	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000004866	ST7	Supported		Nucleoplasm	Cytosol		Nucleoplasm			Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000004897	CDC27	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000004961	HCCS	Enhanced	Mitochondria							Mitochondria (GO:0005739)
ENSG00000004975	DVL2	Enhanced	Nuclear bodies;Nucleoplasm							Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000005001	PRSS22	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000005007	UPF1	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000005020	SKAP2	Supported		Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000005022	SLC25A5	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000005059	MCUB	Approved			Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000005073	HOXA11	Supported		Nucleoplasm			Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000005075	POLR2J	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000005100	DHX33	Supported		Nucleoli						Nucleoli (GO:0005730)
ENSG00000005102	MEOX1	Uncertain				Mitochondria;Nucleoli				Mitochondria (GO:0005739);Nucleoli (GO:0005730)
ENSG00000005156	LIG3	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000005175	RPAP3	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000005189	AC004381.6	Approved			Endoplasmic reticulum;Nuclear membrane;Nucleoli					Endoplasmic reticulum (GO:0005783);Nuclear membrane (GO:0031965);Nucleoli (GO:0005730)
ENSG00000005194	CIAPIN1	Supported		Mitochondria			Mitochondria			Mitochondria (GO:0005739)
ENSG00000005206	SPPL2B	Approved		Plasma membrane		Centrosome;Nucleoplasm				Centrosome (GO:0005813);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000005238	FAM214B	Approved			Nucleoli fibrillar center;Nucleus					Nucleoli fibrillar center (GO:0001650);Nucleus (GO:0005634)
ENSG00000005249	PRKAR2B	Approved			Centrosome;Cytosol;Golgi apparatus;Mitochondria					Centrosome (GO:0005813);Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Mitochondria (GO:0005739)
ENSG00000005302	MSL3	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000005339	CREBBP	Enhanced	Nuclear bodies;Nucleoplasm				Nuclear bodies			Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000005381	MPO	Supported		Vesicles	Nucleus		Nucleus			Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000005436	GCFC2	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000005448	WDR54	Approved			Cytosol;Vesicles					Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000005469	CROT	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000005471	ABCB4	Approved		Plasma membrane	Actin filaments;Focal adhesion sites;Nucleoplasm					Actin filaments (GO:0015629);Focal adhesion sites (GO:0005925);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000005486	RHBDD2	Enhanced	Golgi apparatus							Golgi apparatus (GO:0005794)
ENSG00000005513	SOX8	Supported		Nucleus			Nucleus			Nucleus (GO:0005634)
ENSG00000005700	IBTK	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000005801	ZNF195	Approved			Cytosol;Nucleus					Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000005810	MYCBP2	Supported		Nucleus	Vesicles					Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000005812	FBXL3	Enhanced	Nuclear bodies							Nuclear bodies (GO:0016604)
ENSG00000005882	PDK2	Supported		Mitochondria	Nucleoplasm					Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000005884	ITGA3	Supported		Plasma membrane			Plasma membrane			Plasma membrane (GO:0005886)
ENSG00000005889	ZFX	Approved			Nucleoli;Nucleoplasm		Nucleoli			Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000006007	GDE1	Approved			Nucleoli;Nucleus;Vesicles					Nucleoli (GO:0005730);Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000006015	C19orf60	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000006025	OSBPL7	Approved			Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000006042	TMEM98	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000006047	YBX2	Supported		Nucleoli fibrillar center						Nucleoli fibrillar center (GO:0001650)
ENSG00000006062	MAP3K14	Supported		Cytosol	Vesicles	Nucleoli fibrillar center;Nucleus				Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650);Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000006071	ABCC8	Approved			Cytosol;Golgi apparatus;Nucleoli		Nucleoli			Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoli (GO:0005730)
ENSG00000006118	TMEM132A	Approved			Mitochondria		Mitochondria			Mitochondria (GO:0005739)
ENSG00000006125	AP2B1	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000006194	ZNF263	Supported		Cytosol	Mitotic spindle;Nucleoplasm		Cytosol;Mitotic spindle		Mitotic spindle (biological definition)	Cytosol (GO:0005829);Mitotic spindle (GO:0072686);Nucleoplasm (GO:0005654)
ENSG00000006210	CX3CL1	Supported		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000006282	SPATA20	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000006327	TNFRSF12A	Approved			Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000006377	DLX6	Approved			Nuclear bodies					Nuclear bodies (GO:0016604)
ENSG00000006432	MAP3K9	Approved			Nucleoli;Nucleus					Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000006453	BAIAP2L1	Enhanced	Cytosol;Plasma membrane							Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000006459	KDM7A	Approved			Nucleoli;Nucleoplasm		Nucleoli			Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000006468	ETV1	Approved			Nucleoplasm		Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000006530	AGK	Supported		Mitochondria	Vesicles					Mitochondria (GO:0005739);Vesicles (GO:0043231)
ENSG00000006576	PHTF2	Approved			Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000006607	FARP2	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000006611	USH1C	Enhanced	Cytosol				Cytosol			Cytosol (GO:0005829)
ENSG00000006634	DBF4	Approved			Nuclear bodies;Nucleus			Nuclear bodies;Nucleus		Nuclear bodies (GO:0016604);Nucleus (GO:0005634)
ENSG00000006638	TBXA2R	Supported		Plasma membrane	Nuclear speckles					Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886)
ENSG00000006652	IFRD1	Approved			Cytosol;Plasma membrane		Cytosol;Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000006695	COX10	Supported		Mitochondria	Cytosol;Nucleoli					Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoli (GO:0005730)
ENSG00000006704	GTF2IRD1	Supported		Nucleoplasm	Cytosol		Nucleoplasm		N/A (custom data)	Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000006712	PAF1	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000006744	ELAC2	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000006747	SCIN	Enhanced	Plasma membrane							Plasma membrane (GO:0005886)
ENSG00000006756	ARSD	Approved			Lipid droplets;Vesicles					Lipid droplets (GO:0005811);Vesicles (GO:0043231)
ENSG00000006837	CDKL3	Uncertain				Nucleoplasm;Vesicles				Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000007001	UPP2	Approved			Mitochondria;Nucleus;Vesicles					Mitochondria (GO:0005739);Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000007038	PRSS21	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000007047	MARK4	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000007080	CCDC124	Enhanced	Cytosol;Plasma membrane							Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000007168	PAFAH1B1	Enhanced	Centrosome							Centrosome (GO:0005813)
ENSG00000007202	KIAA0100	Approved			Cytosol;Nuclear speckles		Nuclear speckles			Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000007237	GAS7	Approved			Actin filaments;Focal adhesion sites;Plasma membrane		Actin filaments;Plasma membrane			Actin filaments (GO:0015629);Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
ENSG00000007312	CD79B	Uncertain				Cytosol;Nucleoplasm;Plasma membrane				Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000007314	SCN4A	Approved			Microtubule organizing center;Nucleoplasm					Microtubule organizing center (GO:0005815);Nucleoplasm (GO:0005654)
ENSG00000007341	ST7L	Approved			Centrosome					Centrosome (GO:0005813)
ENSG00000007372	PAX6	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000007376	RPUSD1	Approved			Cell Junctions;Cytosol;Golgi apparatus;Nucleus					Cell Junctions (GO:0030054);Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleus (GO:0005634)
ENSG00000007384	RHBDF1	Uncertain				Vesicles				Vesicles (GO:0043231)
ENSG00000007392	LUC7L	Approved			Mitochondria;Nucleus					Mitochondria (GO:0005739);Nucleus (GO:0005634)
ENSG00000007402	CACNA2D2	Approved			Vesicles		Vesicles			Vesicles (GO:0043231)
ENSG00000007520	TSR3	Approved			Cytosol;Golgi apparatus					Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
ENSG00000007541	PIGQ	Approved			Golgi apparatus;Nucleoplasm;Vesicles					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000007545	CRAMP1	Approved			Cytosol;Nucleoli;Nucleus		Nucleus			Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000007923	DNAJC11	Approved			Cytosol		Cytosol			Cytosol (GO:0005829)
ENSG00000008018	PSMB1	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000008083	JARID2	Supported		Nucleus	Mitochondria					Mitochondria (GO:0005739);Nucleus (GO:0005634)
ENSG00000008086	CDKL5	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000008128	CDK11A	Supported		Cytosol;Nuclear speckles						Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000008130	NADK	Approved			Nucleoplasm;Vesicles		Nucleoplasm			Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000008196	TFAP2B	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000008226	DLEC1	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000008256	CYTH3	Supported		Cytosol		Nucleoplasm				Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000008277	ADAM22	Approved			Cell Junctions					Cell Junctions (GO:0030054)
ENSG00000008294	SPAG9	Enhanced	Cytosol;Microtubule organizing center							Cytosol (GO:0005829);Microtubule organizing center (GO:0005815)
ENSG00000008311	AASS	Enhanced	Mitochondria;Vesicles							Mitochondria (GO:0005739);Vesicles (GO:0043231)
ENSG00000008323	PLEKHG6	Supported		Cell Junctions		Centrosome				Cell Junctions (GO:0030054);Centrosome (GO:0005813)
ENSG00000008324	SS18L2	Approved			Mitochondria;Nucleoli;Nucleus		Mitochondria			Mitochondria (GO:0005739);Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000008382	MPND	Approved			Nucleoli;Nucleus		Nucleus			Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000008394	MGST1	Approved			Endoplasmic reticulum;Mitochondria					Endoplasmic reticulum (GO:0005783);Mitochondria (GO:0005739)
ENSG00000008405	CRY1	Supported		Nucleus	Microtubules;Nuclear membrane					Microtubules (GO:0015630);Nuclear membrane (GO:0031965);Nucleus (GO:0005634)
ENSG00000008441	NFIX	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000008853	RHOBTB2	Approved			Plasma membrane		Plasma membrane			Plasma membrane (GO:0005886)
ENSG00000008869	HEATR5B	Approved			Cytosol;Nucleoli;Nucleus					Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000008952	SEC62	Approved			Endoplasmic reticulum;Intermediate filaments					Endoplasmic reticulum (GO:0005783);Intermediate filaments (GO:0045111)
ENSG00000008988	RPS20	Supported		Cytosol;Endoplasmic reticulum						Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783)
ENSG00000009307	CSDE1	Enhanced	Cytosol							Cytosol (GO:0005829)
ENSG00000009335	UBE3C	Approved			Mitochondria;Nucleoplasm;Plasma membrane					Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000009413	REV3L	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000009724	MASP2	Supported		Golgi apparatus						Golgi apparatus (GO:0005794)
ENSG00000009765	IYD	Supported		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000009780	FAM76A	Approved			Cytosol;Nucleus			Cytosol;Nucleus		Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000009790	TRAF3IP3	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000009844	VTA1	Supported		Cytosol;Vesicles	Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000009950	MLXIPL	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000009954	BAZ1B	Supported		Nuclear bodies						Nuclear bodies (GO:0016604)
ENSG00000010017	RANBP9	Supported		Cytosol;Nucleoplasm				Cytosol;Nucleoplasm		Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000010030	ETV7	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000010072	SPRTN	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000010165	METTL13	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000010219	DYRK4	Enhanced	Vesicles				Vesicles			Vesicles (GO:0043231)
ENSG00000010244	ZNF207	Enhanced	Nucleus							Nucleus (GO:0005634)
ENSG00000010256	UQCRC1	Supported		Mitochondria	Cytosol					Cytosol (GO:0005829);Mitochondria (GO:0005739)
ENSG00000010270	STARD3NL	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000010278	CD9	Supported		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000010292	NCAPD2	Supported		Cytosol;Nucleus						Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000010318	PHF7	Supported		Nucleoplasm	Golgi apparatus					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000010327	STAB1	Approved			Cytosol;Nucleoplasm;Plasma membrane		Cytosol			Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000010361	FUZ	Approved			Cytosol		Cytosol			Cytosol (GO:0005829)
ENSG00000010379	SLC6A13	Approved		Mitochondria		Cytosol;Nucleoli;Nucleus				Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000010438	PRSS3	Approved			Endoplasmic reticulum;Vesicles					Endoplasmic reticulum (GO:0005783);Vesicles (GO:0043231)
ENSG00000010539	ZNF200	Approved			Mitochondria		Mitochondria			Mitochondria (GO:0005739)
ENSG00000010610	CD4	Supported		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000010626	LRRC23	Supported		Nucleoli						Nucleoli (GO:0005730)
ENSG00000010671	BTK	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000010704	HFE	Approved			Mitochondria;Nuclear membrane					Mitochondria (GO:0005739);Nuclear membrane (GO:0031965)
ENSG00000010803	SCMH1	Supported		Nucleoplasm	Nuclear bodies					Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000010810	FYN	Enhanced	Cytosol;Plasma membrane				Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000010818	HIVEP2	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000011007	ELOA	Approved		Nuclear speckles		Cytosol				Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000011009	LYPLA2	Uncertain				Cytosol;Nucleoplasm				Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000011021	CLCN6	Approved			Cytosol;Plasma membrane		Cytosol;Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000011052	NME1-NME2	Supported	Cytosol							Cytosol (GO:0005829)
ENSG00000011105	TSPAN9	Approved			Cytosol;Golgi apparatus;Nucleoplasm					Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000011114	BTBD7	Approved			Focal adhesion sites					Focal adhesion sites (GO:0005925)
ENSG00000011132	APBA3	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000011198	ABHD5	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000011243	AKAP8L	Supported		Nuclear speckles						Nuclear speckles (GO:0016607)
ENSG00000011258	MBTD1	Approved			Cytosol;Nucleus					Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000011260	UTP18	Supported		Nucleoli	Nuclear membrane;Nucleus					Nuclear membrane (GO:0031965);Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000011275	RNF216	Supported		Cytosol	Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000011295	TTC19	Enhanced	Mitochondria							Mitochondria (GO:0005739)
ENSG00000011304	PTBP1	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000011332	DPF1	Approved			Cytosol;Mitochondria;Nucleoplasm					Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000011376	LARS2	Supported		Mitochondria	Nucleoplasm					Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000011405	PIK3C2A	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000011422	PLAUR	Supported		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000011426	ANLN	Enhanced	Nucleoplasm		Midbody		Nucleoplasm		Midbody (biological definition);N/A (custom data);Nucleoplasm (correlation)	Midbody (GO:0030496);Nucleoplasm (GO:0005654)
ENSG00000011451	WIZ	Enhanced	Nucleoplasm		Midbody				Midbody (biological definition)	Midbody (GO:0030496);Nucleoplasm (GO:0005654)
ENSG00000011454	RABGAP1	Enhanced	Cytosol							Cytosol (GO:0005829)
ENSG00000011478	QPCTL	Supported		Golgi apparatus			Golgi apparatus			Golgi apparatus (GO:0005794)
ENSG00000011485	PPP5C	Supported		Cytosol;Vesicles						Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000011523	CEP68	Supported		Microtubule organizing center	Nucleus					Microtubule organizing center (GO:0005815);Nucleus (GO:0005634)
ENSG00000011566	MAP4K3	Approved			Centrosome					Centrosome (GO:0005813)
ENSG00000011638	TMEM159	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000012061	ERCC1	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000012174	MBTPS2	Approved			Cytosol;Mitochondria;Nucleoplasm					Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000012211	PRICKLE3	Approved			Centrosome;Nucleus;Plasma membrane					Centrosome (GO:0005813);Nucleus (GO:0005634);Plasma membrane (GO:0005886)
ENSG00000012504	NR1H4	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000012660	ELOVL5	Enhanced	Endoplasmic reticulum							Endoplasmic reticulum (GO:0005783)
ENSG00000012779	ALOX5	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000012817	KDM5D	Approved			Nucleoli fibrillar center					Nucleoli fibrillar center (GO:0001650)
ENSG00000012822	CALCOCO1	Enhanced	Cytosol							Cytosol (GO:0005829)
ENSG00000012963	UBR7	Approved			Nucleus					Nucleus (GO:0005634)
ENSG00000012983	MAP4K5	Approved			Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000013016	EHD3	Approved			Plasma membrane					Plasma membrane (GO:0005886)
ENSG00000013275	PSMC4	Supported		Cytosol;Nucleus						Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000013364	MVP	Enhanced	Cytosol							Cytosol (GO:0005829)
ENSG00000013374	NUB1	Enhanced	Nucleoli;Nucleus				Nucleoli			Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000013375	PGM3	Approved			Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000013441	CLK1	Supported		Nuclear membrane;Nucleoplasm						Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000013503	POLR3B	Approved			Nuclear speckles					Nuclear speckles (GO:0016607)
ENSG00000013523	ANGEL1	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000013561	RNF14	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000013573	DDX11	Supported		Centrosome;Nucleoli fibrillar center;Nucleus			Nucleus			Centrosome (GO:0005813);Nucleoli fibrillar center (GO:0001650);Nucleus (GO:0005634)
ENSG00000013583	HEBP1	Approved			Vesicles	Nucleus				Nucleus (GO:0005634);Vesicles (GO:0043231)
